gold_id,extractor_name,gold_kind,source_table,version,audit_pair_id,file,line,symbol,expected_present,expected_fact,match_key,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes
c_function_signatures-0001,c_function_signatures,function_signature,c_functions,HEAD_9207d47f966b,latest-p020-v7.0-to-HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h,255,module_remove_driver,true,"{""file"": "".binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h"", ""gold_kind"": ""function_signature"", ""line"": ""255"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""module_remove_driver"", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h"", ""line"": 255, ""params"": ""[\""const struct device_driver *drv\""]"", ""return_type"": ""void""}, ""source_table"": ""c_functions"", ""symbol"": ""module_remove_driver"", ""version"": ""HEAD_9207d47f966b""}",6f42dbfb631857da05d7bfb46424381fff2f84ae1b777008980c0ae776893b1e,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0002,c_function_signatures,function_signature,c_functions,v6.1,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.1/include/linux/slab.h,758,slab_prepare_cpu,true,"{""file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""gold_kind"": ""function_signature"", ""line"": ""758"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""slab_prepare_cpu"", ""header_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""line"": 758, ""params"": ""[\""unsigned int cpu\""]"", ""return_type"": ""int""}, ""source_table"": ""c_functions"", ""symbol"": ""slab_prepare_cpu"", ""version"": ""v6.1""}",dadd813279fd6b31aac4b14e9044a1d011ebecaf2501b98deb1b229bc0e5204a,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0003,c_function_signatures,function_signature,c_functions,v6.10,latest-p009-v6.9-to-v6.10,.binddrift/worktrees/v6.10/include/linux/ethtool.h,1138,ethtool_puts,true,"{""file"": "".binddrift/worktrees/v6.10/include/linux/ethtool.h"", ""gold_kind"": ""function_signature"", ""line"": ""1138"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""ethtool_puts"", ""header_file"": "".binddrift/worktrees/v6.10/include/linux/ethtool.h"", ""line"": 1138, ""params"": ""[\""u8 **data\"", \""const char *str\""]"", ""return_type"": ""extern void""}, ""source_table"": ""c_functions"", ""symbol"": ""ethtool_puts"", ""version"": ""v6.10""}",c0e5552e2a8d3513a31f520384fce32394a382d1ced81069dd5d1d05314f8b54,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0004,c_function_signatures,function_signature,c_functions,v6.11,latest-p010-v6.10-to-v6.11,.binddrift/worktrees/v6.11/include/linux/blk-mq.h,731,blk_mq_destroy_queue,true,"{""file"": "".binddrift/worktrees/v6.11/include/linux/blk-mq.h"", ""gold_kind"": ""function_signature"", ""line"": ""731"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""blk_mq_destroy_queue"", ""header_file"": "".binddrift/worktrees/v6.11/include/linux/blk-mq.h"", ""line"": 731, ""params"": ""[\""struct request_queue *\""]"", ""return_type"": ""void""}, ""source_table"": ""c_functions"", ""symbol"": ""blk_mq_destroy_queue"", ""version"": ""v6.11""}",bd693d59772c0e5f5120a8fc045dd0560679d5b6dfefb0ac5517f79d2b41ac8a,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0005,c_function_signatures,function_signature,c_functions,v6.12,latest-p011-v6.11-to-v6.12,.binddrift/worktrees/v6.12/include/linux/blk-mq.h,915,blk_mq_delay_run_hw_queue,true,"{""file"": "".binddrift/worktrees/v6.12/include/linux/blk-mq.h"", ""gold_kind"": ""function_signature"", ""line"": ""915"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""blk_mq_delay_run_hw_queue"", ""header_file"": "".binddrift/worktrees/v6.12/include/linux/blk-mq.h"", ""line"": 915, ""params"": ""[\""struct blk_mq_hw_ctx *hctx\"", \""unsigned long msecs\""]"", ""return_type"": ""void""}, ""source_table"": ""c_functions"", ""symbol"": ""blk_mq_delay_run_hw_queue"", ""version"": ""v6.12""}",aa7a3add9510d0d8768886eeb3ad2694fcffa6dfec66aece97ded06e920407f5,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0006,c_function_signatures,function_signature,c_functions,v6.13,latest-p012-v6.12-to-v6.13,.binddrift/worktrees/v6.13/include/kunit/test.h,324,kunit_suite_num_test_cases,true,"{""file"": "".binddrift/worktrees/v6.13/include/kunit/test.h"", ""gold_kind"": ""function_signature"", ""line"": ""324"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kunit_suite_num_test_cases"", ""header_file"": "".binddrift/worktrees/v6.13/include/kunit/test.h"", ""line"": 324, ""params"": ""[\""struct kunit_suite *suite\""]"", ""return_type"": ""size_t""}, ""source_table"": ""c_functions"", ""symbol"": ""kunit_suite_num_test_cases"", ""version"": ""v6.13""}",e5baa104217afeb27f7772f0bc8c8b4dc7f342be6b86e2a2dfbf07ca6489606f,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0007,c_function_signatures,function_signature,c_functions,v6.14,latest-p013-v6.13-to-v6.14,.binddrift/worktrees/v6.14/include/linux/blk-mq.h,243,rq_list_add_tail,true,"{""file"": "".binddrift/worktrees/v6.14/include/linux/blk-mq.h"", ""gold_kind"": ""function_signature"", ""line"": ""243"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""rq_list_add_tail"", ""definition_file"": "".binddrift/worktrees/v6.14/include/linux/blk-mq.h"", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/blk-mq.h"", ""line"": 243, ""params"": ""[\""struct rq_list *rl\"", \""struct request *rq\""]"", ""return_type"": ""static inline void""}, ""source_table"": ""c_functions"", ""symbol"": ""rq_list_add_tail"", ""version"": ""v6.14""}",f4c70d908db9b25080996f88374ded3cca7065d9b68dfafa55617758370ecd5c,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0008,c_function_signatures,function_signature,c_functions,v6.15,latest-p014-v6.14-to-v6.15,.binddrift/worktrees/v6.15/include/kunit/test.h,314,kunit_enabled,true,"{""file"": "".binddrift/worktrees/v6.15/include/kunit/test.h"", ""gold_kind"": ""function_signature"", ""line"": ""314"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kunit_enabled"", ""header_file"": "".binddrift/worktrees/v6.15/include/kunit/test.h"", ""line"": 314, ""params"": ""[]"", ""return_type"": ""bool""}, ""source_table"": ""c_functions"", ""symbol"": ""kunit_enabled"", ""version"": ""v6.15""}",c7d0511c4fcba0a00184d3d290b714269964782990eb5d067f41b8f3b59fc2ac,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0009,c_function_signatures,function_signature,c_functions,v6.16,latest-p015-v6.15-to-v6.16,.binddrift/worktrees/v6.16/include/drm/drm_file.h,466,drm_poll,true,"{""file"": "".binddrift/worktrees/v6.16/include/drm/drm_file.h"", ""gold_kind"": ""function_signature"", ""line"": ""466"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""drm_poll"", ""header_file"": "".binddrift/worktrees/v6.16/include/drm/drm_file.h"", ""line"": 466, ""params"": ""[\""struct file *filp\"", \""struct poll_table_struct *wait\""]"", ""return_type"": ""__poll_t""}, ""source_table"": ""c_functions"", ""symbol"": ""drm_poll"", ""version"": ""v6.16""}",dbf3b4678f5328c16a7eb0eecc4dac05d238b9a943663f128f0f9d8c52b74d75,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0010,c_function_signatures,function_signature,c_functions,v6.17,latest-p016-v6.16-to-v6.17,.binddrift/worktrees/v6.17/include/drm/drm_file.h,469,drm_read,true,"{""file"": "".binddrift/worktrees/v6.17/include/drm/drm_file.h"", ""gold_kind"": ""function_signature"", ""line"": ""469"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""drm_read"", ""header_file"": "".binddrift/worktrees/v6.17/include/drm/drm_file.h"", ""line"": 469, ""params"": ""[\""struct file *filp\"", \""char __user *buffer\"", \""size_t count\"", \""loff_t *offset\""]"", ""return_type"": ""ssize_t""}, ""source_table"": ""c_functions"", ""symbol"": ""drm_read"", ""version"": ""v6.17""}",d412090bab30cdabf7fca626fca69d517813c66cd0ecbe31a039dc31461eba05,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0011,c_function_signatures,function_signature,c_functions,v6.18,latest-p017-v6.17-to-v6.18,.binddrift/worktrees/v6.18/include/drm/drm_gem.h,552,drm_gem_get_pages,true,"{""file"": "".binddrift/worktrees/v6.18/include/drm/drm_gem.h"", ""gold_kind"": ""function_signature"", ""line"": ""552"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""drm_gem_get_pages"", ""header_file"": "".binddrift/worktrees/v6.18/include/drm/drm_gem.h"", ""line"": 552, ""params"": ""[\""struct drm_gem_object *obj\""]"", ""return_type"": ""struct page **""}, ""source_table"": ""c_functions"", ""symbol"": ""drm_gem_get_pages"", ""version"": ""v6.18""}",06981ce19eaff27cbd3253fc09bed523ac63dd07b89ab66adf9f1dfa09fadd2a,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0012,c_function_signatures,function_signature,c_functions,v6.19,latest-p018-v6.18-to-v6.19,.binddrift/worktrees/v6.19/include/drm/drm_device.h,365,drm_dev_set_dma_dev,true,"{""file"": "".binddrift/worktrees/v6.19/include/drm/drm_device.h"", ""gold_kind"": ""function_signature"", ""line"": ""365"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""drm_dev_set_dma_dev"", ""header_file"": "".binddrift/worktrees/v6.19/include/drm/drm_device.h"", ""line"": 365, ""params"": ""[\""struct drm_device *dev\"", \""struct device *dma_dev\""]"", ""return_type"": ""void""}, ""source_table"": ""c_functions"", ""symbol"": ""drm_dev_set_dma_dev"", ""version"": ""v6.19""}",8130c0035e952c5e066ca1f032c07c520eeb62ca330f70a78f681f1d24f2e115,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0013,c_function_signatures,function_signature,c_functions,v6.2,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.2/include/linux/slab.h,381,kmalloc_type,true,"{""file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""gold_kind"": ""function_signature"", ""line"": ""381"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kmalloc_type"", ""definition_file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""line"": 381, ""params"": ""[\""gfp_t flags\""]"", ""return_type"": ""static __always_inline enum kmalloc_cache_type""}, ""source_table"": ""c_functions"", ""symbol"": ""kmalloc_type"", ""version"": ""v6.2""}",bc5ac34e836c68cec8f73c6d2f95ccf55ab893a8bb4761ddb355ff7a36c82d51,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0014,c_function_signatures,function_signature,c_functions,v6.3,latest-p002-v6.2-to-v6.3,.binddrift/worktrees/v6.3/include/linux/slab.h,488,kmem_cache_alloc_bulk,true,"{""file"": "".binddrift/worktrees/v6.3/include/linux/slab.h"", ""gold_kind"": ""function_signature"", ""line"": ""488"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kmem_cache_alloc_bulk"", ""header_file"": "".binddrift/worktrees/v6.3/include/linux/slab.h"", ""line"": 488, ""params"": ""[\""struct kmem_cache *s\"", \""gfp_t flags\"", \""size_t size\"", \""void **p\""]"", ""return_type"": ""int""}, ""source_table"": ""c_functions"", ""symbol"": ""kmem_cache_alloc_bulk"", ""version"": ""v6.3""}",0eca3b31f720b81e05656e090893376bb2e504bcf309789d4e03a0723c794018,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0015,c_function_signatures,function_signature,c_functions,v6.4,latest-p003-v6.3-to-v6.4,.binddrift/worktrees/v6.4/include/linux/refcount.h,127,refcount_warn_saturate,true,"{""file"": "".binddrift/worktrees/v6.4/include/linux/refcount.h"", ""gold_kind"": ""function_signature"", ""line"": ""127"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""refcount_warn_saturate"", ""header_file"": "".binddrift/worktrees/v6.4/include/linux/refcount.h"", ""line"": 127, ""params"": ""[\""refcount_t *r\"", \""enum refcount_saturation_type t\""]"", ""return_type"": ""void""}, ""source_table"": ""c_functions"", ""symbol"": ""refcount_warn_saturate"", ""version"": ""v6.4""}",7b99ba61dfcf8baebf023f4a502cc7b1df48dc618122b6d9555d2e3d46c91df9,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0016,c_function_signatures,function_signature,c_functions,v6.5,latest-p004-v6.4-to-v6.5,.binddrift/worktrees/v6.5/include/linux/sched.h,1654,task_pgrp_nr,true,"{""file"": "".binddrift/worktrees/v6.5/include/linux/sched.h"", ""gold_kind"": ""function_signature"", ""line"": ""1654"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""task_pgrp_nr"", ""definition_file"": "".binddrift/worktrees/v6.5/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.5/include/linux/sched.h"", ""line"": 1654, ""params"": ""[\""struct task_struct *tsk\""]"", ""return_type"": ""static inline pid_t""}, ""source_table"": ""c_functions"", ""symbol"": ""task_pgrp_nr"", ""version"": ""v6.5""}",dbcbd05b5ea8da55b87a482b7d88c69356df2288e0190a0bbd9afd584830f707,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0017,c_function_signatures,function_signature,c_functions,v6.6,latest-p005-v6.5-to-v6.6,.binddrift/worktrees/v6.6/include/kunit/test.h,343,kunit_run_all_tests,true,"{""file"": "".binddrift/worktrees/v6.6/include/kunit/test.h"", ""gold_kind"": ""function_signature"", ""line"": ""343"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kunit_run_all_tests"", ""header_file"": "".binddrift/worktrees/v6.6/include/kunit/test.h"", ""line"": 343, ""params"": ""[]"", ""return_type"": ""int""}, ""source_table"": ""c_functions"", ""symbol"": ""kunit_run_all_tests"", ""version"": ""v6.6""}",164606a5ded4d00272c6b5d1ebf570f8544a1393b5c020bb48acdcf3f1eb02cf,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0018,c_function_signatures,function_signature,c_functions,v6.7,latest-p006-v6.6-to-v6.7,.binddrift/worktrees/v6.7/include/linux/sched.h,1629,task_session_nr_ns,true,"{""file"": "".binddrift/worktrees/v6.7/include/linux/sched.h"", ""gold_kind"": ""function_signature"", ""line"": ""1629"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""task_session_nr_ns"", ""definition_file"": "".binddrift/worktrees/v6.7/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.7/include/linux/sched.h"", ""line"": 1629, ""params"": ""[\""struct task_struct *tsk\"", \""struct pid_namespace *ns\""]"", ""return_type"": ""static inline pid_t""}, ""source_table"": ""c_functions"", ""symbol"": ""task_session_nr_ns"", ""version"": ""v6.7""}",340e93abc73fd6f0f714b71ca068b82fb01373045142fa48a4abc37b24528110,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0019,c_function_signatures,function_signature,c_functions,v6.8,latest-p007-v6.7-to-v6.8,.binddrift/worktrees/v6.8/include/kunit/test.h,413,kunit_suite_has_succeeded,true,"{""file"": "".binddrift/worktrees/v6.8/include/kunit/test.h"", ""gold_kind"": ""function_signature"", ""line"": ""413"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kunit_suite_has_succeeded"", ""header_file"": "".binddrift/worktrees/v6.8/include/kunit/test.h"", ""line"": 413, ""params"": ""[\""struct kunit_suite *suite\""]"", ""return_type"": ""enum kunit_status""}, ""source_table"": ""c_functions"", ""symbol"": ""kunit_suite_has_succeeded"", ""version"": ""v6.8""}",8c32f91752349d9168d2fd20b37f650834402454dff18f451d8847e74890746b,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0020,c_function_signatures,function_signature,c_functions,v6.9,latest-p008-v6.8-to-v6.9,.binddrift/worktrees/v6.9/include/linux/mdio.h,48,to_mdio_device,true,"{""file"": "".binddrift/worktrees/v6.9/include/linux/mdio.h"", ""gold_kind"": ""function_signature"", ""line"": ""48"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""to_mdio_device"", ""definition_file"": "".binddrift/worktrees/v6.9/include/linux/mdio.h"", ""header_file"": "".binddrift/worktrees/v6.9/include/linux/mdio.h"", ""line"": 48, ""params"": ""[\""const struct device *dev\""]"", ""return_type"": ""static inline struct mdio_device *""}, ""source_table"": ""c_functions"", ""symbol"": ""to_mdio_device"", ""version"": ""v6.9""}",7f4700fa59e86f4ea9ea5e82fa17b40881b90c4be0d10e452c2c97d3cdef7678,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0021,c_function_signatures,function_signature,c_functions,v7.0,latest-p019-v6.19-to-v7.0,.binddrift/worktrees/v7.0/drivers/android/binder/rust_binder.h,97,rust_binder_node_debug_id,true,"{""file"": "".binddrift/worktrees/v7.0/drivers/android/binder/rust_binder.h"", ""gold_kind"": ""function_signature"", ""line"": ""97"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""rust_binder_node_debug_id"", ""definition_file"": "".binddrift/worktrees/v7.0/drivers/android/binder/rust_binder.h"", ""header_file"": "".binddrift/worktrees/v7.0/drivers/android/binder/rust_binder.h"", ""line"": 97, ""params"": ""[\""rust_binder_node t\""]"", ""return_type"": ""static inline size_t""}, ""source_table"": ""c_functions"", ""symbol"": ""rust_binder_node_debug_id"", ""version"": ""v7.0""}",d9b8f5ffb6f588493abcc70cc76bc9d4212a7af6798e743ef1f6c792ad69771d,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0022,c_function_signatures,function_signature,c_functions,HEAD_9207d47f966b,latest-p020-v7.0-to-HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h,160,faux_bus_init,true,"{""file"": "".binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h"", ""gold_kind"": ""function_signature"", ""line"": ""160"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""faux_bus_init"", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/drivers/base/base.h"", ""line"": 160, ""params"": ""[]"", ""return_type"": ""int""}, ""source_table"": ""c_functions"", ""symbol"": ""faux_bus_init"", ""version"": ""HEAD_9207d47f966b""}",86f241f39a03a01b12ad7ba6136473fc38963d80dd5fa425b8faee484a32d9c0,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0023,c_function_signatures,function_signature,c_functions,v6.1,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.1/include/linux/slab.h,753,kmalloc_size_roundup,true,"{""file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""gold_kind"": ""function_signature"", ""line"": ""753"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""kmalloc_size_roundup"", ""header_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""line"": 753, ""params"": ""[\""size_t size\""]"", ""return_type"": ""size_t""}, ""source_table"": ""c_functions"", ""symbol"": ""kmalloc_size_roundup"", ""version"": ""v6.1""}",280f21c759c4d9f788c17b294b7db086544eeb19fc785551b979e7ec7a1685dc,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
c_function_signatures-0024,c_function_signatures,function_signature,c_functions,v6.10,latest-p009-v6.9-to-v6.10,.binddrift/worktrees/v6.10/include/linux/jiffies.h,454,__msecs_to_jiffies,true,"{""file"": "".binddrift/worktrees/v6.10/include/linux/jiffies.h"", ""gold_kind"": ""function_signature"", ""line"": ""454"", ""source_basis"": ""independent source/evidence packet"", ""source_fields"": {""c_symbol"": ""__msecs_to_jiffies"", ""header_file"": "".binddrift/worktrees/v6.10/include/linux/jiffies.h"", ""line"": 454, ""params"": ""[\""const unsigned int m\""]"", ""return_type"": ""extern unsigned long""}, ""source_table"": ""c_functions"", ""symbol"": ""__msecs_to_jiffies"", ""version"": ""v6.10""}",bfa300bb129ebd50542cdb24b8bf2a0d01f827ceeedb8aaedd3d2eff6a72d9ae,SHOULD_EXTRACT,reviewed source/evidence packet independent of extractor output; rank/score/ranker blinded,SHOULD_EXTRACT,independent source/evidence packet review; rank/score/ranker blinded,SHOULD_EXTRACT,adjudicated independent source/evidence gold fact for recall audit
