precision_id,extractor_name,source_table,version,file,line,symbol,extracted_fact,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,error_category
c-struct-field-0001,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,32,acpi_fde_info.floppy0,"{""align"": null, ""c_type"": ""acpi_fde_info"", ""field_name"": ""floppy0"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""floppy0\"", \""type\"": \""u32\""}, {\""name\"": \""floppy1\"", \""type\"": \""u32\""}, {\""name\"": \""floppy2\"", \""type\"": \""u32\""}, {\""name\"": \""floppy3\"", \""type\"": \""u32\""}, {\""name\"": \""tape\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 32, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0002,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,32,acpi_fde_info.floppy1,"{""align"": null, ""c_type"": ""acpi_fde_info"", ""field_name"": ""floppy1"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""floppy0\"", \""type\"": \""u32\""}, {\""name\"": \""floppy1\"", \""type\"": \""u32\""}, {\""name\"": \""floppy2\"", \""type\"": \""u32\""}, {\""name\"": \""floppy3\"", \""type\"": \""u32\""}, {\""name\"": \""tape\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 32, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0003,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,32,acpi_fde_info.floppy2,"{""align"": null, ""c_type"": ""acpi_fde_info"", ""field_name"": ""floppy2"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""floppy0\"", \""type\"": \""u32\""}, {\""name\"": \""floppy1\"", \""type\"": \""u32\""}, {\""name\"": \""floppy2\"", \""type\"": \""u32\""}, {\""name\"": \""floppy3\"", \""type\"": \""u32\""}, {\""name\"": \""tape\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 32, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0004,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,32,acpi_fde_info.floppy3,"{""align"": null, ""c_type"": ""acpi_fde_info"", ""field_name"": ""floppy3"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""floppy0\"", \""type\"": \""u32\""}, {\""name\"": \""floppy1\"", \""type\"": \""u32\""}, {\""name\"": \""floppy2\"", \""type\"": \""u32\""}, {\""name\"": \""floppy3\"", \""type\"": \""u32\""}, {\""name\"": \""tape\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 32, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0005,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,32,acpi_fde_info.tape,"{""align"": null, ""c_type"": ""acpi_fde_info"", ""field_name"": ""tape"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""floppy0\"", \""type\"": \""u32\""}, {\""name\"": \""floppy1\"", \""type\"": \""u32\""}, {\""name\"": \""floppy2\"", \""type\"": \""u32\""}, {\""name\"": \""floppy3\"", \""type\"": \""u32\""}, {\""name\"": \""tape\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 32, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0006,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.year,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""year"", ""field_type"": ""u16"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0007,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.month,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""month"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0008,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.day,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""day"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0009,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.hour,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""hour"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0010,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.minute,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""minute"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
