sample_id,is_correct,error_type,notes
c_behavior_indicators-001,true,,ERR_PTR return is inside of_regulator_get_optional
c_behavior_indicators-002,false,REGEX_ARTIFACT,memalloc_noio_save changes allocation context and is not an allocation call
c_behavior_indicators-003,true,,kunit_kmalloc delegates to kunit_kmalloc_array
c_behavior_indicators-004,true,,negative errno return is inside request_firmware_into_buf
c_behavior_indicators-005,true,,dev_pm_opp_put is a put API stub and symbol matches
c_behavior_indicators-006,true,,negative errno return is inside clk_notifier_register
c_behavior_indicators-007,true,,NULL return is inside pci_get_subsys
c_behavior_indicators-008,true,,kfree call is inside vma_numab_state_free
c_behavior_indicators-009,true,,NULL return is inside devm_clk_get_optional_enabled_with_rate
c_behavior_indicators-010,true,,negative errno return is inside pcibios_err_to_errno
c_behavior_indicators-011,true,,NULL return is inside errname
c_behavior_indicators-012,true,,ERR_PTR return is inside acpi_get_table_pointer
c_behavior_indicators-013,true,,negative errno return is inside acpi_processor_evaluate_cst
c_behavior_indicators-014,true,,negative errno return is inside of_get_required_opp_performance_state
c_behavior_indicators-015,false,REGEX_ARTIFACT,large_kmalloc is only checked in a predicate and get_page does not allocate
c_behavior_indicators-016,true,,ERR_PTR return is inside dev_pm_opp_find_freq_exact_indexed
c_behavior_indicators-017,true,,negative errno return is inside acpi_debugger_read_cmd
c_behavior_indicators-018,true,,ERR_PTR assignment is returned by copy_pid_ns
c_behavior_indicators-019,true,,negative errno return is inside phy_start_cable_test
c_behavior_indicators-020,true,,negative errno return is inside pci_request_regions
c_behavior_indicators-021,true,,NULL return is inside blk_mq_tag_to_rq
c_behavior_indicators-022,true,,negative errno return is inside security_socket_getpeersec_stream
c_behavior_indicators-023,true,,spin_lock call is inside rust_helper_spin_lock
c_behavior_indicators-024,true,,negative errno return is inside devm_pm_opp_of_add_table
c_behavior_indicators-025,true,,negative errno return is inside clk_notifier_register
c_behavior_indicators-026,true,,devm_pwmchip_alloc delegates to pwmchip_alloc
c_behavior_indicators-027,true,,might_alloc is in the xa_alloc_cyclic_bh allocation path
c_behavior_indicators-028,true,,negative errno return is inside phy_start_cable_test_tdr
c_behavior_indicators-029,true,,negative errno return is inside dup_user_cpus_ptr
c_behavior_indicators-030,true,,might_sleep call is inside clk_bulk_prepare
c_behavior_indicators-031,false,REGEX_ARTIFACT,kfree_rcu_scheduler_running is an empty scheduler hook and not a free operation
c_behavior_indicators-032,true,,negative errno return is inside dma_get_sgtable_attrs
c_behavior_indicators-033,true,,negative errno return is inside pwm_apply_might_sleep
c_behavior_indicators-034,true,,NULL return is inside devm_clk_get_prepared
c_behavior_indicators-035,true,,NULL return is inside clk_get
c_behavior_indicators-036,true,,ERR_PTR return is inside debugfs_create_file
c_behavior_indicators-037,true,,negative errno return is inside cpufreq_boost_set_sw
c_behavior_indicators-038,true,,negative errno return is inside blk_validate_block_size
c_behavior_indicators-039,true,,NULL return is inside get_cred_rcu
c_behavior_indicators-040,true,,devm_clk_put is a put API stub and symbol matches
c_behavior_indicators-041,true,,NULL return is inside devm_clk_get_enabled
c_behavior_indicators-042,true,,negative errno return is inside pci_enable_ptm
c_behavior_indicators-043,true,,vma_numab_state_free is a free API stub and symbol matches
c_behavior_indicators-044,true,,NULL return is inside cpufreq_cpu_policy
c_behavior_indicators-045,true,,kset_put call is inside subsys_put
c_behavior_indicators-046,true,,config_item_put call is inside config_group_put
c_behavior_indicators-047,true,,negative errno return is inside dev_pm_opp_set_rate
c_behavior_indicators-048,true,,dmam_alloc_coherent delegates to dmam_alloc_attrs
c_behavior_indicators-049,true,,clk_get call is inside rust_helper_clk_get
c_behavior_indicators-050,true,,NULL return is inside pci_get_device
