sample_id,is_correct,error_type,notes
rust_binding_uses-001,true,,line calls bindings::copy_to_user
rust_binding_uses-002,true,,macro const uses $crate::bindings::BUGFLAG_WARNING
rust_binding_uses-003,true,,line exposes Opaque<bindings::configfs_subsystem>
rust_binding_uses-004,true,,initializer uses bindings::USB_DEVICE_ID_MATCH_DEV_INFO
rust_binding_uses-005,true,,initializer uses kernel::bindings::kunit_speed_KUNIT_SPEED_NORMAL
rust_binding_uses-006,true,,line calls bindings::kunmap_local
rust_binding_uses-007,true,,line declares *mut bindings::config_group
rust_binding_uses-008,true,,struct wraps Opaque<bindings::cpufreq_frequency_table>
rust_binding_uses-009,true,,HrTimerMode const uses bindings::hrtimer_mode
rust_binding_uses-010,true,,enum value maps to bindings::PCI_CLASS_WIRELESS_RF_CONTROLLER
rust_binding_uses-011,true,,enum value maps to bindings::PCI_VENDOR_ID_CHELSIO
rust_binding_uses-012,true,,struct field exposes Opaque<bindings::refcount_t>
rust_binding_uses-013,true,,line calls bindings::acpi_match_device
rust_binding_uses-014,true,,line calls bindings::dev_pm_opp_sync_regulators
rust_binding_uses-015,true,,const maps to bindings::DMA_ATTR_FORCE_CONTIGUOUS
rust_binding_uses-016,true,,iterator setup calls bindings::rb_first
rust_binding_uses-017,true,,line uses bindings::system_freezable_power_efficient_wq
rust_binding_uses-018,true,,file_operations slot uses bindings::drm_open
rust_binding_uses-019,true,,const maps to bindings::PHY_POLL_CABLE_TEST
rust_binding_uses-020,true,,function parameter exposes *mut bindings::kiocb
rust_binding_uses-021,true,,match arm maps to bindings::PCI_IRQ_INTX
rust_binding_uses-022,true,,line calls bindings::rb_next_postorder
rust_binding_uses-023,true,,const maps to bindings::VM_NOHUGEPAGE
rust_binding_uses-024,true,,function parameter exposes bindings::ktime_t
rust_binding_uses-025,true,,container_of uses bindings::pci_dev
rust_binding_uses-026,true,,enum value maps to bindings::PCI_VENDOR_ID_TITAN
rust_binding_uses-027,true,,static initializer uses bindings::KERN_CONT
rust_binding_uses-028,true,,enum value maps to bindings::PCI_CLASS_DOCKING_GENERIC
rust_binding_uses-029,true,,enum value maps to bindings::PCI_VENDOR_ID_TRIDENT
rust_binding_uses-030,true,,line calls bindings::drm_gem_object_put
rust_binding_uses-031,true,,return type exposes *mut bindings::sg_table
rust_binding_uses-032,true,,line calls bindings::phy_read_mmd
rust_binding_uses-033,true,,return type exposes *const bindings::config_item_type
rust_binding_uses-034,true,,file_operations slot uses bindings::single_release
rust_binding_uses-035,true,,allocator call uses bindings::GFP_KERNEL
rust_binding_uses-036,true,,line calls bindings::i2c_unregister_device
rust_binding_uses-037,true,,parameter exposes *mut bindings::lock_class_key
rust_binding_uses-038,true,,callback return type exposes bindings::hrtimer_restart
rust_binding_uses-039,true,,line calls bindings::clk_put
rust_binding_uses-040,true,,line uses bindings::system_power_efficient_wq
