sample_id,extractor_name,version,audit_pair_id,file,line,symbol,extracted_fact,raw_context,control_label,control_category,reviewer1_label,reviewer1_provenance,reviewer2_label,reviewer2_provenance,adjudicated_label,adjudication_provenance,error_category,notes
c_functions-1281,c_functions,v6.1,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.1/include/linux/slab.h,463,kfree_bulk,"{""c_symbol"": ""kfree_bulk"", ""definition_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""line"": 463, ""params"": ""[\""size_t size\"", \""void **p\""]"", ""return_type"": ""static __always_inline void"", ""version_id"": ""v6.1""}","[""size_t size"", ""void **p""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-619,c_functions,v6.2,latest-p002-v6.2-to-v6.3,.binddrift/worktrees/v6.2/include/linux/slab.h,708,kmem_cache_zalloc,"{""c_symbol"": ""kmem_cache_zalloc"", ""definition_file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""line"": 708, ""params"": ""[\""struct kmem_cache *k\"", \""gfp_t flags\""]"", ""return_type"": ""static inline void *"", ""version_id"": ""v6.2""}","[""struct kmem_cache *k"", ""gfp_t flags""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-1948,c_functions,v6.3,latest-p003-v6.3-to-v6.4,.binddrift/worktrees/v6.3/include/linux/refcount.h,225,__refcount_inc_not_zero,"{""c_symbol"": ""__refcount_inc_not_zero"", ""definition_file"": "".binddrift/worktrees/v6.3/include/linux/refcount.h"", ""header_file"": "".binddrift/worktrees/v6.3/include/linux/refcount.h"", ""line"": 225, ""params"": ""[\""refcount_t *r\"", \""int *oldp\""]"", ""return_type"": ""static inline __must_check bool"", ""version_id"": ""v6.3""}","[""refcount_t *r"", ""int *oldp""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-075,c_functions,v6.4,latest-p004-v6.4-to-v6.5,.binddrift/worktrees/v6.4/include/linux/sched.h,2100,_cond_resched,"{""c_symbol"": ""_cond_resched"", ""definition_file"": "".binddrift/worktrees/v6.4/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.4/include/linux/sched.h"", ""line"": 2100, ""params"": ""[]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.4""}",[],,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-050,c_functions,v6.5,latest-p005-v6.5-to-v6.6,.binddrift/worktrees/v6.5/include/linux/wait.h,1193,prepare_to_wait,"{""c_symbol"": ""prepare_to_wait"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.5/include/linux/wait.h"", ""line"": 1193, ""params"": ""[\""struct wait_queue_head *wq_head\"", \""struct wait_queue_entry *wq_entry\"", \""int state\""]"", ""return_type"": ""void"", ""version_id"": ""v6.5""}","[""struct wait_queue_head *wq_head"", ""struct wait_queue_entry *wq_entry"", ""int state""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-166,c_functions,v6.6,latest-p006-v6.6-to-v6.7,.binddrift/worktrees/v6.6/include/linux/sched.h,2002,set_task_comm,"{""c_symbol"": ""set_task_comm"", ""definition_file"": "".binddrift/worktrees/v6.6/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.6/include/linux/sched.h"", ""line"": 2002, ""params"": ""[\""struct task_struct *tsk\"", \""const char *from\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.6""}","[""struct task_struct *tsk"", ""const char *from""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-233,c_functions,v6.7,latest-p007-v6.7-to-v6.8,.binddrift/worktrees/v6.7/include/kunit/test.h,404,kunit_suite_has_succeeded,"{""c_symbol"": ""kunit_suite_has_succeeded"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.7/include/kunit/test.h"", ""line"": 404, ""params"": ""[\""struct kunit_suite *suite\""]"", ""return_type"": ""enum kunit_status"", ""version_id"": ""v6.7""}","[""struct kunit_suite *suite""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-005,c_functions,v6.8,latest-p008-v6.8-to-v6.9,.binddrift/worktrees/v6.8/include/linux/wait.h,80,init_waitqueue_entry,"{""c_symbol"": ""init_waitqueue_entry"", ""definition_file"": "".binddrift/worktrees/v6.8/include/linux/wait.h"", ""header_file"": "".binddrift/worktrees/v6.8/include/linux/wait.h"", ""line"": 80, ""params"": ""[\""struct wait_queue_entry *wq_entry\"", \""struct task_struct *p\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.8""}","[""struct wait_queue_entry *wq_entry"", ""struct task_struct *p""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-280,c_functions,v6.9,latest-p009-v6.9-to-v6.10,.binddrift/worktrees/v6.9/include/linux/phy.h,1954,phy_mac_interrupt,"{""c_symbol"": ""phy_mac_interrupt"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.9/include/linux/phy.h"", ""line"": 1954, ""params"": ""[\""struct phy_device *phydev\""]"", ""return_type"": ""void"", ""version_id"": ""v6.9""}","[""struct phy_device *phydev""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-204,c_functions,v6.10,latest-p010-v6.10-to-v6.11,.binddrift/worktrees/v6.10/include/linux/sched.h,1919,scheduler_ipi,"{""c_symbol"": ""scheduler_ipi"", ""definition_file"": "".binddrift/worktrees/v6.10/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.10/include/linux/sched.h"", ""line"": 1919, ""params"": ""[]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.10""}",[],,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-001,c_functions,v6.11,latest-p011-v6.11-to-v6.12,.binddrift/worktrees/v6.11/include/linux/sched.h,1857,ia64_set_curr_task,"{""c_symbol"": ""ia64_set_curr_task"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.11/include/linux/sched.h"", ""line"": 1857, ""params"": ""[\""int cpu\"", \""struct task_struct *p\""]"", ""return_type"": ""extern void"", ""version_id"": ""v6.11""}","[""int cpu"", ""struct task_struct *p""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
