sample_id,extractor_name,version,file,line,symbol,extracted_fact,raw_context,reviewer1_label,reviewer2_label,adjudicated_label,error_category,notes
c_functions-001,c_functions,v6.11,.binddrift/worktrees/v6.11/include/linux/sched.h,1857,ia64_set_curr_task,"{""c_symbol"": ""ia64_set_curr_task"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.11/include/linux/sched.h"", ""line"": 1857, ""params"": ""[\""int cpu\"", \""struct task_struct *p\""]"", ""return_type"": ""extern void"", ""version_id"": ""v6.11""}","[""int cpu"", ""struct task_struct *p""]",,,,,
c_functions-002,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/pci.h,1919,pci_enable_link_state,"{""c_symbol"": ""pci_enable_link_state"", ""definition_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1919, ""params"": ""[\""struct pci_dev *pdev\"", \""int state\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v7.0""}","[""struct pci_dev *pdev"", ""int state""]",,,,,
c_functions-003,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/platform_device.h,361,platform_pm_thaw,"{""c_symbol"": ""platform_pm_thaw"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/platform_device.h"", ""line"": 361, ""params"": ""[\""struct device *dev\""]"", ""return_type"": ""extern int"", ""version_id"": ""v6.17""}","[""struct device *dev""]",,,,,
c_functions-004,c_functions,HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/include/linux/acpi.h,1187,acpi_unregister_lps0_dev,"{""c_symbol"": ""acpi_unregister_lps0_dev"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/include/linux/acpi.h"", ""line"": 1187, ""params"": ""[\""struct acpi_s2idle_dev_ops *arg\""]"", ""return_type"": ""void"", ""version_id"": ""HEAD_9207d47f966b""}","[""struct acpi_s2idle_dev_ops *arg""]",,,,,
c_functions-005,c_functions,v6.8,.binddrift/worktrees/v6.8/include/linux/wait.h,80,init_waitqueue_entry,"{""c_symbol"": ""init_waitqueue_entry"", ""definition_file"": "".binddrift/worktrees/v6.8/include/linux/wait.h"", ""header_file"": "".binddrift/worktrees/v6.8/include/linux/wait.h"", ""line"": 80, ""params"": ""[\""struct wait_queue_entry *wq_entry\"", \""struct task_struct *p\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.8""}","[""struct wait_queue_entry *wq_entry"", ""struct task_struct *p""]",,,,,
c_functions-006,c_functions,v6.13,.binddrift/worktrees/v6.13/include/linux/cred.h,180,override_creds_light,"{""c_symbol"": ""override_creds_light"", ""definition_file"": "".binddrift/worktrees/v6.13/include/linux/cred.h"", ""header_file"": "".binddrift/worktrees/v6.13/include/linux/cred.h"", ""line"": 180, ""params"": ""[\""const struct cred *override_cred\""]"", ""return_type"": ""static inline const struct cred *"", ""version_id"": ""v6.13""}","[""const struct cred *override_cred""]",,,,,
c_functions-007,c_functions,v7.0,.binddrift/worktrees/v7.0/include/linux/pci.h,1292,pci_get_device_reverse,"{""c_symbol"": ""pci_get_device_reverse"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1292, ""params"": ""[\""unsigned int vendor\"", \""unsigned int device\"", \""struct pci_dev *from\""]"", ""return_type"": ""struct pci_dev *"", ""version_id"": ""v7.0""}","[""unsigned int vendor"", ""unsigned int device"", ""struct pci_dev *from""]",,,,,
c_functions-008,c_functions,v6.14,.binddrift/worktrees/v6.14/include/linux/phy.h,1832,phy_device_register,"{""c_symbol"": ""phy_device_register"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/phy.h"", ""line"": 1832, ""params"": ""[\""struct phy_device *phy\""]"", ""return_type"": ""int"", ""version_id"": ""v6.14""}","[""struct phy_device *phy""]",,,,,
c_functions-009,c_functions,HEAD_9207d47f966b,.binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h,1788,I_BDEV,"{""c_symbol"": ""I_BDEV"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h"", ""line"": 1788, ""params"": ""[\""struct inode *inode\""]"", ""return_type"": ""struct block_device *"", ""version_id"": ""HEAD_9207d47f966b""}","[""struct inode *inode""]",,,,,
c_functions-010,c_functions,v6.17,.binddrift/worktrees/v6.17/include/linux/mdio.h,589,mdiobus_c45_read_nested,"{""c_symbol"": ""mdiobus_c45_read_nested"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/mdio.h"", ""line"": 589, ""params"": ""[\""struct mii_bus *bus\"", \""int addr\"", \""int devad\"", \""u32 regnum\""]"", ""return_type"": ""int"", ""version_id"": ""v6.17""}","[""struct mii_bus *bus"", ""int addr"", ""int devad"", ""u32 regnum""]",,,,,
