warning_uid,run_id,warning_id,pair_id,type,risk,rank,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,true_reason,false_reason,label,reviewer_notes
631fc5d1d94b44fdd80548e9f32e95120a123fbaf9728275f4b1da004c269450,arm64,W-000018,arm64-p001-v6.13-to-v6.14,SignatureDrift,High,1,17.0,security_secid_to_secctx,,,,,,,,,,
a579041213529ffa401d4c1bbe0b376ddb2e3b92a6ac059e6294362a2b6982c7,arm64,W-000003,arm64-p001-v6.13-to-v6.14,SignatureDrift,Medium,2,10.0,faux_device_create,,,,,,,,,,
25624b61298adc043982a31ec7baa25e9435f122ac7809e705f409ccad64e8f4,arm64,W-000008,arm64-p001-v6.13-to-v6.14,SignatureDrift,Medium,3,10.0,pci_enable_device_mem,,,,,,,,,,
58714b685541597f10c288791405cb814c58882d7f5185b4f0fc2216b4bdc47c,arm64,W-000017,arm64-p001-v6.13-to-v6.14,SignatureDrift,Medium,4,10.0,security_release_secctx,,,,,,,,,,
eb1d6b70882ce0393add13bb65149ace0925e8c7e686cd5ddde56741123c1510,arm64,W-000001,arm64-p004-v6.16-to-v6.17,SignatureDrift,Medium,5,10.0,dev_set_drvdata,,,,,,,,,,
c3cc9b9be727fe34cee44c6eeca026a5fb00afac8f3e15ed3b03c904a15b65d2,arm64,W-000007,arm64-p004-v6.16-to-v6.17,SignatureDrift,Medium,6,10.0,regulator_get_voltage,,,,,,,,,,
8c578e4465a4e90adacfedddb107279a9d677f6ac3822b3456b34d279f23a8bb,arm64,W-000008,arm64-p004-v6.16-to-v6.17,SignatureDrift,Medium,7,10.0,regulator_is_enabled,,,,,,,,,,
84363a61376df041be8602c67f6dab887ddb631f2b419fe79b60c7f16fd7df0a,arm64,W-000174,arm64-p005-v6.17-to-v6.18,SignatureDrift,Medium,8,10.0,clear_bit,,,,,,,,,,
2c8e20db937e8a1ddc08173f37aaf764c8f71e8cd4d8aca2e52775bfbfc37b25,arm64,W-000175,arm64-p005-v6.17-to-v6.18,SignatureDrift,Medium,9,10.0,refcount_dec,,,,,,,,,,
eed83900643f2d853cc9379640f43aa63b70c9b966c8d1faa166accb1b9761d1,arm64,W-000176,arm64-p005-v6.17-to-v6.18,SignatureDrift,Medium,10,10.0,refcount_set,,,,,,,,,,
5222faa1a5027b4d58cfa122eb38bd9b5a4f8a5b8ac33ee7481a5de879812822,arm64,W-000007,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,11,10.0,VM_ACCOUNT,,,,,,,,,,
c187a02307f2aa327527ba4c0eda2b627148ad1bab3d2b4e5b539a180f9578e4,arm64,W-000008,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,12,10.0,VM_ARCH_1,,,,,,,,,,
4d2236039587bff75ad68de3420996b9da8c4a9e39faed347148ce08b7036c7f,arm64,W-000009,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,13,10.0,VM_DONTCOPY,,,,,,,,,,
1bf76a673346ce7f36b689f7943292de62c2f123f293cbed560080a26985bedf,arm64,W-000010,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,14,10.0,VM_DONTDUMP,,,,,,,,,,
4be43efc73ce3a44d2aab90fc47c356b792dca5e4413d544fe7fe894a0b8ea41,arm64,W-000011,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,15,10.0,VM_DONTEXPAND,,,,,,,,,,
c073af27c623bf68b2eaab054a0bac72fc9c417112800d433da0ce5075bba3de,arm64,W-000012,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,16,10.0,VM_EXEC,,,,,,,,,,
09499ad1c5cbf2254b388da20b405dce4ab438e3d2956a929ae22d3d6b4a8fa2,arm64,W-000013,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,17,10.0,VM_HUGEPAGE,,,,,,,,,,
b2002650c86d8e440c1edb928a76cc63e2f20791b509d83a15437128dc2b4efb,arm64,W-000014,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,18,10.0,VM_HUGETLB,,,,,,,,,,
466b6d2626313d044032da6cf682642649318eb7137581f593437357ccaf07cc,arm64,W-000015,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,19,10.0,VM_IO,,,,,,,,,,
1ae191cda51c4d4cea1ee10b3e501678f76d5467ff46e0be481bfd639df28eba,arm64,W-000016,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,20,10.0,VM_LOCKONFAULT,,,,,,,,,,
e50994fa3a8cb8904c98320a76d2f7c47ffbcb2ac1913252bf852234426f8617,arm64,W-000017,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,21,10.0,VM_MAYEXEC,,,,,,,,,,
5197b578b05de06c421ab74b6241fd96aedb29c6af8e2d489b7d8691d9db6fb7,arm64,W-000018,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,22,10.0,VM_MAYREAD,,,,,,,,,,
cb4bf33e414221de8c9616ba63db27672f0d56b578c3722f0200720588e75435,arm64,W-000019,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,23,10.0,VM_MAYSHARE,,,,,,,,,,
25b476963a816bfc2f7be0987c113398b71efe656ecde9e097a055fc0ec35594,arm64,W-000020,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,24,10.0,VM_MAYWRITE,,,,,,,,,,
ca7705f6428cf459fcf318f507bc680ae99a9e4d88867cac803dd1f1eb5294fd,arm64,W-000021,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,25,10.0,VM_MERGEABLE,,,,,,,,,,
4cb5e2c315cda6adb08b6be96d6ae989269471b4467bf3e2f99401e4288d261b,arm64,W-000022,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,26,10.0,VM_MIXEDMAP,,,,,,,,,,
c3eaed4edacb272023bc5ca9322df10217197a7e6f55f7fb24560e6ad737660f,arm64,W-000023,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,27,10.0,VM_NOHUGEPAGE,,,,,,,,,,
956127603fe803df97abce7563fb80e2a5a17ae8b207c8e43e1d3127d613d9ff,arm64,W-000024,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,28,10.0,VM_NORESERVE,,,,,,,,,,
4e271bc431ecab71d4fbd0e712d17d3935c788b0a02b4985d7df1175afc50ab0,arm64,W-000025,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,29,10.0,VM_PFNMAP,,,,,,,,,,
fdf255975dd48239c25db924b66707d8566d1fa18dfd03c00e1a17f38fe36799,arm64,W-000026,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,30,10.0,VM_READ,,,,,,,,,,
f0be8be1349677d840bff9cc8d029c374347da0944523f23be515484a25a1ae6,arm64,W-000027,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,31,10.0,VM_SHARED,,,,,,,,,,
abb75956e0c9799dcc3d1246e4ad53a6abd7b882bb9ee45b07ff0270cb185963,arm64,W-000028,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,32,10.0,VM_SOFTDIRTY,,,,,,,,,,
f366e463f0eb7d4620253835d817a3385bd22d2d23c01805158b9fb457301bf1,arm64,W-000029,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,33,10.0,VM_SYNC,,,,,,,,,,
9ffc337e919a59bd95320a00d222ff6b15a42a1ce6765fb4699ba056566f0470,arm64,W-000030,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,34,10.0,VM_WIPEONFORK,,,,,,,,,,
9dc4e6cb4dc78360747428052724f8f59ae964721b450a6c46e165b2ebeaacdd,arm64,W-000031,arm64-p006-v6.18-to-v6.19,MacroConstDrift,Medium,35,10.0,VM_WRITE,,,,,,,,,,
08f55388185e18867ecf9f85118e5f303955bdf5c1c272b3e693244f59ddae73,arm64,W-000004,arm64-p007-v6.19-to-v7.0,SignatureDrift,Medium,36,10.0,dma_free_attrs,,,,,,,,,,
0b4c95e58b6e08b5f54fb07935dae0279b7c61232eb523525b10fb87886bf9e0,arm64,W-000177,arm64-p005-v6.17-to-v6.18,SignatureDrift,Medium,37,9.0,set_bit,,,,,,,,,,
5fac4d860647c6656d46e2bc3bd85c107d1bef6f082cdd989c4355561a7165fd,arm64,W-000006,arm64-p006-v6.18-to-v6.19,FieldDrift,Medium,38,9.0,request,,,,,,,,,,
e5942743149e6d84e98a48ca08530b0a14d9636fb19a9ecaf47571f943b4e82f,arm64,W-000001,arm64-p007-v6.19-to-v7.0,FieldDrift,Medium,39,9.0,device,,,,,,,,,,
a4f02d83ca8ab66d8849feccaa5a427194fb86f086b855d76b79b56e0adc69ed,arm64,W-000014,arm64-p001-v6.13-to-v6.14,FieldDrift,Medium,40,8.0,pci_dev,,,,,,,,,,
21800f26c60bce71b307c0cb405e32fc980c63e89827a887eb75319d32a3ca67,arm64,W-000015,arm64-p001-v6.13-to-v6.14,FieldDrift,Medium,41,8.0,platform_device,,,,,,,,,,
419aa9220c3af7d36c01d11822da390479f90fef865f2063d5a904d026878533,arm64,W-000016,arm64-p001-v6.13-to-v6.14,FieldDrift,Medium,42,8.0,queue_limits,,,,,,,,,,
5e8319b9bdfbfc331ca1defa2196384bee6d44b0dd439fb56d5d5e01a5352650,arm64,W-000002,arm64-p002-v6.14-to-v6.15,MacroConstDrift,Medium,43,8.0,init_wait,,,,,,,,,,
ad61106470cbd45d7ed7c9f99cec74749adca9ba2e7766b8a07952118bb8547b,arm64,W-000005,arm64-p003-v6.15-to-v6.16,FieldDrift,Medium,44,8.0,queue_limits,,,,,,,,,,
6cfef86f64a7a3e00cdfedd9bbf7c530c09b84dbff47db4b01be2d32695eb59f,arm64,W-000010,arm64-p004-v6.16-to-v6.17,FieldDrift,Medium,45,8.0,queue_limits,,,,,,,,,,
85020880ec437ebd929e0fce89b8b71b4cea0fd971b30a81ffd7036364a582fc,arm64,W-000005,arm64-p006-v6.18-to-v6.19,FieldDrift,Medium,46,8.0,queue_limits,,,,,,,,,,
8554bbfb7f7472642072474c5e5f47a8151605cfbfb8b77fb83792b0c3778de3,arm64,W-000011,arm64-p001-v6.13-to-v6.14,SignatureDrift,Low,47,7.0,pci_set_master,,,,,,,,,,
6d800912d42ed270d4739e21a7b77e26d028a47b39da5ad5efe5191e1177901a,arm64,W-000001,arm64-p002-v6.14-to-v6.15,FieldDrift,Low,48,7.0,pci_dev,,,,,,,,,,
5c11b2e86127527bae113106843a0576955a62a8a50e3d5644eee8168721be16,arm64,W-000004,arm64-p003-v6.15-to-v6.16,FieldDrift,Low,49,7.0,pci_dev,,,,,,,,,,
b811669c5e3872a132b259b4f52dcbcd8c4a83dd65c0b96177c10a8c3b4614a8,arm64,W-000002,arm64-p007-v6.19-to-v7.0,FieldDrift,Low,50,7.0,pci_dev,,,,,,,,,,
f54ddb1bf3fecb5a0bef9717edd9b2274d9420d739f8fbee31a0fb6f9fc2cdea,arm64,W-000003,arm64-p007-v6.19-to-v7.0,FieldDrift,Low,51,7.0,platform_device,,,,,,,,,,
d5dd7bc6f25cc0d693ec417212080cafbb6b2995886067457c184f67d278e54a,arm64,W-000004,arm64-p001-v6.13-to-v6.14,SignatureDrift,Low,52,6.0,faux_device_destroy,,,,,,,,,,
5e841f650847ca6c8c457990c3e3e7f9f35ca643e99a8c450d7d6ca0ce2d0503,arm64,W-000004,arm64-p004-v6.16-to-v6.17,SignatureDrift,Low,53,6.0,poll_wait,,,,,,,,,,
2790272e1576950a801403b22c36d70cb046ebcc14577b7ad28892e13660ec05,arm64,W-000005,arm64-p004-v6.16-to-v6.17,SignatureDrift,Low,54,6.0,regulator_disable,,,,,,,,,,
17334ba6d99bbd9d7db02b6310e369d671e5c568bf0ec886c85a90406ec8a364,arm64,W-000006,arm64-p004-v6.16-to-v6.17,SignatureDrift,Low,55,6.0,regulator_enable,,,,,,,,,,
d35694850e327b617c72bd5788da97a1a241ac0230a1a92d9ac8b877395f9691,arm64,W-000009,arm64-p004-v6.16-to-v6.17,SignatureDrift,Low,56,6.0,regulator_put,,,,,,,,,,
0c917d2187c7a28513ec6178236dcfc53aa5ac140b1b26a09ac88d02a0b62380,arm64,W-000173,arm64-p005-v6.17-to-v6.18,SignatureDrift,Low,57,6.0,bitmap_copy_and_extend,,,,,,,,,,
d5cc1ce993b5087addd125c6a2eddd90d3fbff76bc6ad28e4b2bec9cc23612e3,arm64,W-000178,arm64-p005-v6.17-to-v6.18,FieldDrift,Low,58,6.0,kunit_case,,,,,,,,,,
4f445686d5666110656554daded74f41b332ff0cebef982aea512c69babc8f88,arm64,W-000001,arm64-p001-v6.13-to-v6.14,SignatureDrift,Low,59,3.0,devm_add_action,,,,,,,,,,
63fdbe43476b074c888923f7b78645ba4977afdb063dad8d7f5c18f1863e4356,arm64,W-000001,arm64-p003-v6.15-to-v6.16,SignatureDrift,Low,60,3.0,dev_is_pci,,,,,,,,,,
b79aec09b0f627e30bca810d5e6a7ec07bf7bff363272924208988d6e2dc2139,arm64,W-000002,arm64-p003-v6.15-to-v6.16,SignatureDrift,Low,61,3.0,drm_gem_object_get,,,,,,,,,,
57148e54ca58311648e720e5242d42296f4818a4df8bee4a02c60fe715157a26,arm64,W-000003,arm64-p003-v6.15-to-v6.16,SignatureDrift,Low,62,3.0,drm_gem_object_put,,,,,,,,,,
