warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000940,SignatureDrift,High,14.6,up,,,,,,,,
W-000266,SignatureDrift,High,13.2,down,,,,,,,,
W-000863,SignatureDrift,High,13.2,siginfo_layout,,,,,,,,
W-000353,SignatureDrift,High,12.8,force_sig,,,,,,,,
W-000821,SignatureDrift,High,12.8,send_sig,,,,,,,,
W-001012,FieldDrift,High,12.6,file,,,,,,,,
W-001016,FieldDrift,High,12.6,inode,,,,,,,,
W-001019,FieldDrift,High,12.6,key,,,,,,,,
W-001020,FieldDrift,High,12.6,kunit,,,,,,,,
W-001033,FieldDrift,High,12.6,zone,,,,,,,,
W-000573,SignatureDrift,High,12.2,key_alloc,,,,,,,,
W-000310,SignatureDrift,High,11.8,fasync_helper,,,,,,,,
W-000142,SignatureDrift,High,11.6,bit_wait,,,,,,,,
W-000204,SignatureDrift,High,11.6,d_alloc,,,,,,,,
W-000497,SignatureDrift,High,11.6,inode_init,,,,,,,,
W-000919,SignatureDrift,High,11.6,sync_file_range,,,,,,,,
W-000218,SignatureDrift,High,11.4,d_instantiate,,,,,,,,
W-000306,SignatureDrift,High,11.4,f_getown,,,,,,,,
W-000444,SignatureDrift,High,11.4,getname,,,,,,,,
W-000492,SignatureDrift,High,11.4,init_work_with_key,,,,,,,,
W-000582,SignatureDrift,High,11.4,key_lookup,,,,,,,,
W-001023,FieldDrift,High,11.4,list_lru,,,,,,,,
W-000011,SignatureDrift,High,11.2,__d_lookup,,,,,,,,
W-000097,SignatureDrift,High,11.2,__sys_socket,,,,,,,,
W-000113,SignatureDrift,High,11.2,_copy_from_iter,,,,,,,,
W-000307,SignatureDrift,High,11.2,f_setown,,,,,,,,
W-000355,SignatureDrift,High,11.2,force_sig_fault,,,,,,,,
W-000472,SignatureDrift,High,11.2,ilookup,,,,,,,,
W-000603,SignatureDrift,High,11.2,kill_pid,,,,,,,,
W-000626,SignatureDrift,High,11.2,lockref_get,,,,,,,,
W-000697,SignatureDrift,High,11.2,ns_capable,,,,,,,,
W-000704,SignatureDrift,High,11.2,out_of_line_wait_on_bit,,,,,,,,
W-000738,SignatureDrift,High,11.2,ptdump_walk_pgd_level,,,,,,,,
W-000752,SignatureDrift,High,11.2,put_cmsg,,,,,,,,
W-000853,SignatureDrift,High,11.2,sget,,,,,,,,
W-000893,SignatureDrift,High,11.2,simple_rename,,,,,,,,
W-000065,SignatureDrift,High,11.0,__put_task_struct,,,,,,,,
W-000076,SignatureDrift,High,11.0,__register_chrdev,,,,,,,,
W-000082,SignatureDrift,High,11.0,__sys_connect,,,,,,,,
W-000089,SignatureDrift,High,11.0,__sys_recvmsg,,,,,,,,
W-000092,SignatureDrift,High,11.0,__sys_sendmsg,,,,,,,,
W-000095,SignatureDrift,High,11.0,__sys_shutdown,,,,,,,,
W-000103,SignatureDrift,High,11.0,__wait_on_bit,,,,,,,,
W-000136,SignatureDrift,High,11.0,assoc_array_insert,,,,,,,,
W-000143,SignatureDrift,High,11.0,bit_wait_io,,,,,,,,
W-000150,SignatureDrift,High,11.0,bmap,,,,,,,,
W-000154,SignatureDrift,High,11.0,capable,,,,,,,,
W-000178,SignatureDrift,High,11.0,copy_page_from_iter,,,,,,,,
W-000180,SignatureDrift,High,11.0,copy_page_to_iter,,,,,,,,
W-000183,SignatureDrift,High,11.0,copy_siginfo_from_user,,,,,,,,
W-000202,SignatureDrift,High,11.0,d_add,,,,,,,,
W-000213,SignatureDrift,High,11.0,d_find_alias,,,,,,,,
W-000248,SignatureDrift,High,11.0,dentry_path,,,,,,,,
W-000274,SignatureDrift,High,11.0,drop_super,,,,,,,,
W-000281,SignatureDrift,High,11.0,early_memremap_decrypted,,,,,,,,
W-000283,SignatureDrift,High,11.0,early_memremap_encrypted,,,,,,,,
W-000290,SignatureDrift,High,11.0,errseq_check,,,,,,,,
W-000393,SignatureDrift,High,11.0,from_kqid,,,,,,,,
W-000410,SignatureDrift,High,11.0,generic_file_llseek,,,,,,,,
W-000428,SignatureDrift,High,11.0,generic_write_checks,,,,,,,,
W-000455,SignatureDrift,High,11.0,has_capability,,,,,,,,
W-000458,SignatureDrift,High,11.0,has_ns_capability,,,,,,,,
W-000473,SignatureDrift,High,11.0,ilookup5,,,,,,,,
W-000513,SignatureDrift,High,11.0,inode_update_time,,,,,,,,
W-000515,SignatureDrift,High,11.0,insert_inode_locked,,,,,,,,
W-000554,SignatureDrift,High,11.0,iterate_supers,,,,,,,,
W-000560,SignatureDrift,High,11.0,kern_unmount,,,,,,,,
W-000562,SignatureDrift,High,11.0,kernel_clone,,,,,,,,
W-000570,SignatureDrift,High,11.0,kernel_wait,,,,,,,,
W-000574,SignatureDrift,High,11.0,key_create,,,,,,,,
W-000584,SignatureDrift,High,11.0,key_put,,,,,,,,
W-000618,SignatureDrift,High,11.0,list_lru_isolate,,,,,,,,
W-000621,SignatureDrift,High,11.0,list_lru_walk_one,,,,,,,,
W-000644,SignatureDrift,High,11.0,may_umount,,,,,,,,
W-000650,SignatureDrift,High,11.0,mmu_interval_notifier_insert,,,,,,,,
W-000661,SignatureDrift,High,11.0,mnt_drop_write,,,,,,,,
W-000670,SignatureDrift,High,11.0,mnt_want_write,,,,,,,,
W-000684,SignatureDrift,High,11.0,new_inode,,,,,,,,
W-000689,SignatureDrift,High,11.0,no_seek_end_llseek,,,,,,,,
W-000753,SignatureDrift,High,11.0,put_cmsg_scm_timestamping,,,,,,,,
W-000775,SignatureDrift,High,11.0,rcu_sync_enter,,,,,,,,
W-000783,SignatureDrift,High,11.0,recalc_sigpending,,,,,,,,
W-000815,SignatureDrift,High,11.0,sched_dead,,,,,,,,
W-000822,SignatureDrift,High,11.0,send_sig_fault,,,,,,,,
W-000832,SignatureDrift,High,11.0,set_anon_super,,,,,,,,
W-000843,SignatureDrift,High,11.0,set_security_override,,,,,,,,
W-000873,SignatureDrift,High,11.0,simple_attr_write,,,,,,,,
W-000912,SignatureDrift,High,11.0,strncpy_from_user,,,,,,,,
W-000914,SignatureDrift,High,11.0,strnlen_user,,,,,,,,
W-000916,SignatureDrift,High,11.0,super_setup_bdi,,,,,,,,
W-000948,SignatureDrift,High,11.0,vfs_caches_init,,,,,,,,
W-000952,SignatureDrift,High,11.0,vfs_create,,,,,,,,
W-000954,SignatureDrift,High,11.0,vfs_dedupe_file_range,,,,,,,,
W-000960,SignatureDrift,High,11.0,vfs_fstat,,,,,,,,
W-000962,SignatureDrift,High,11.0,vfs_fsync,,,,,,,,
W-000965,SignatureDrift,High,11.0,vfs_getattr,,,,,,,,
W-000978,SignatureDrift,High,11.0,vfs_read,,,,,,,,
W-000997,SignatureDrift,High,11.0,work_on_cpu,,,,,,,,
W-001102,SignatureDrift,High,11.0,__printf,,,,,,,,
W-001140,SignatureDrift,High,11.0,work_on_cpu,,,,,,,,
W-001093,AllocationFreePairingDrift,High,13.7,auxiliary_device_uninit,,,,,,,,
W-000602,ErrorDrift,High,11.45,firmware_request_nowarn,,,,,,,,
W-000849,ErrorDrift,High,11.2,devm_platform_ioremap_resource,,,,,,,,
W-001096,ErrorDrift,High,11.0,clk_get_optional,,,,,,,,
W-001114,ErrorDrift,High,11.0,dev_pm_opp_get_sharing_cpus,,,,,,,,
W-001115,ErrorDrift,High,11.0,dev_pm_opp_init_cpufreq_table,,,,,,,,
W-001214,ErrorDrift,High,11.2,regulator_get_voltage,,,,,,,,
W-000711,ErrorDrift,High,11.3,debugfs_create_dir,,,,,,,,
W-001252,ErrorDrift,High,11.7,pwmchip_alloc,,,,,,,,
W-001254,ErrorDrift,High,11.7,pwmchip_remove,,,,,,,,
W-001031,FieldDrift,High,10.4,task_struct,,,,,,,,
W-001010,FieldDrift,High,10.2,dentry,,,,,,,,
W-001008,FieldDrift,Medium,9.4,cred,,,,,,,,
W-001022,FieldDrift,Medium,9.4,kunit_suite,,,,,,,,
W-001004,FieldDrift,Medium,9.2,address_space,,,,,,,,
W-001005,FieldDrift,Medium,8.8,bin_attribute,,,,,,,,
W-001006,FieldDrift,Medium,8.8,compat_robust_list_head,,,,,,,,
W-001007,FieldDrift,Medium,8.8,cpuinfo_x86,,,,,,,,
W-001009,FieldDrift,Medium,8.8,css_set,,,,,,,,
W-001011,FieldDrift,Medium,8.8,exception_table_entry,,,,,,,,
W-001013,FieldDrift,Medium,8.8,file_operations,,,,,,,,
W-001014,FieldDrift,Medium,8.8,file_system_type,,,,,,,,
