warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000491,SignatureDrift,High,14.6,l,,,,,,,,
W-000632,SignatureDrift,High,14.6,rb_first,,,,,,,,
W-001226,SignatureDrift,High,14.6,sha256,,,,,,,,
W-000629,SignatureDrift,High,14.2,pwmchip_get_drvdata,,,,,,,,
W-001179,SignatureDrift,High,14.0,dev_get_drvdata,,,,,,,,
W-001231,SignatureDrift,High,14.0,sha512,,,,,,,,
W-001253,NullabilityDrift,High,13.7,pwmchip_alloc,,,,,,,,
W-000300,SignatureDrift,High,13.6,i2c_get_adapter,,,,,,,,
W-000836,FieldDrift,High,13.6,drm_device,,,,,,,,
W-001224,SignatureDrift,High,13.4,sha224,,,,,,,,
W-001229,SignatureDrift,High,13.4,sha384,,,,,,,,
W-000633,SignatureDrift,High,13.2,rb_last,,,,,,,,
W-001251,NullabilityDrift,High,12.8,i2c_verify_client,,,,,,,,
W-000822,FieldDrift,High,12.6,bio,,,,,,,,
W-000827,FieldDrift,High,12.6,cgroup,,,,,,,,
W-000837,FieldDrift,High,12.6,drm_file,,,,,,,,
W-000841,FieldDrift,High,12.6,inode,,,,,,,,
W-000843,FieldDrift,High,12.6,irq_domain,,,,,,,,
W-000846,FieldDrift,High,12.6,kiocb,,,,,,,,
W-000848,FieldDrift,High,12.6,mm_struct,,,,,,,,
W-000852,FieldDrift,High,12.6,phy_device,,,,,,,,
W-000853,FieldDrift,High,12.6,phy_driver,,,,,,,,
W-000857,FieldDrift,High,12.6,request,,,,,,,,
W-000308,SignatureDrift,High,12.4,i2c_new_client_device,,,,,,,,
W-000874,FieldDrift,High,12.2,urb,,,,,,,,
W-000719,SignatureDrift,High,12.0,usb_deregister,,,,,,,,
W-001194,SignatureDrift,High,12.0,hmac_sha224,,,,,,,,
W-001197,SignatureDrift,High,12.0,hmac_sha256,,,,,,,,
W-001200,SignatureDrift,High,12.0,hmac_sha384,,,,,,,,
W-001203,SignatureDrift,High,12.0,hmac_sha512,,,,,,,,
W-000294,SignatureDrift,High,11.8,i2c_del_driver,,,,,,,,
W-000318,SignatureDrift,High,11.8,i2c_slave_event,,,,,,,,
W-000336,SignatureDrift,High,11.8,i2c_unregister_device,,,,,,,,
W-000338,SignatureDrift,High,11.8,i2c_verify_client,,,,,,,,
W-000769,SignatureDrift,High,11.8,usb_put_intf,,,,,,,,
W-000801,SignatureDrift,High,11.8,valid,,,,,,,,
W-000821,FieldDrift,High,11.8,auxiliary_device_id,,,,,,,,
W-001252,ErrorDrift,High,11.7,pwmchip_alloc,,,,,,,,
W-001254,ErrorDrift,High,11.7,pwmchip_remove,,,,,,,,
W-000306,SignatureDrift,High,11.6,i2c_match_id,,,,,,,,
W-000345,SignatureDrift,High,11.6,interface_to_usbdev,,,,,,,,
W-000768,SignatureDrift,High,11.6,usb_put_dev,,,,,,,,
