warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000001,SignatureDrift,High,14.6,INIT_LIST_HEAD,,,,,,,,
W-000181,SignatureDrift,High,14.4,vm_mmap,,,,,,,,
W-000707,SignatureDrift,High,14.4,vm_mmap,,,,,,,,
W-000689,SignatureDrift,High,14.0,resource_size_t,,,,,,,,
W-000134,SignatureDrift,High,13.2,list_add_tail,,,,,,,,
W-000195,FieldDrift,High,12.6,cgroup,,,,,,,,
W-000197,FieldDrift,High,12.6,class,,,,,,,,
W-000198,FieldDrift,High,12.6,cpufreq_policy,,,,,,,,
W-000200,FieldDrift,High,12.6,dentry,,,,,,,,
W-000201,FieldDrift,High,12.6,device,,,,,,,,
W-000203,FieldDrift,High,12.6,dma_fence,,,,,,,,
W-000209,FieldDrift,High,12.6,fwnode_handle,,,,,,,,
W-000210,FieldDrift,High,12.6,hrtimer,,,,,,,,
W-000213,FieldDrift,High,12.6,inode,,,,,,,,
W-000214,FieldDrift,High,12.6,iommu_domain,,,,,,,,
W-000220,FieldDrift,High,12.6,module,,,,,,,,
W-000221,FieldDrift,High,12.6,mutex,,,,,,,,
W-000225,FieldDrift,High,12.6,pci_dev,,,,,,,,
W-000229,FieldDrift,High,12.6,phy_device,,,,,,,,
W-000250,FieldDrift,High,12.6,zone,,,,,,,,
W-000074,SignatureDrift,High,12.4,drm_gem_shmem_init,,,,,,,,
W-000192,SignatureDrift,High,12.2,zap_vma_range,,,,,,,,
W-000061,SignatureDrift,High,12.0,devres_node_remove,,,,,,,,
W-000077,SignatureDrift,High,12.0,drm_gem_shmem_object_free,,,,,,,,
W-000055,SignatureDrift,High,11.8,dev_name,,,,,,,,
W-000059,SignatureDrift,High,11.8,devres_node_add,,,,,,,,
W-000060,SignatureDrift,High,11.8,devres_node_init,,,,,,,,
W-000062,SignatureDrift,High,11.8,devres_set_node_dbginfo,,,,,,,,
W-000109,SignatureDrift,High,11.8,gpu_buddy_block_order,,,,,,,,
W-000693,SignatureDrift,High,11.8,rust_helper_clk_get,,,,,,,,
W-000698,SignatureDrift,High,11.8,rust_helper_clk_put,,,,,,,,
W-000067,SignatureDrift,High,11.6,dma_resv_lock,,,,,,,,
W-000092,SignatureDrift,High,11.6,drm_gem_shmem_release,,,,,,,,
W-000107,SignatureDrift,High,11.6,gpu_buddy_alloc_blocks,,,,,,,,
W-000108,SignatureDrift,High,11.6,gpu_buddy_block_offset,,,,,,,,
W-000112,SignatureDrift,High,11.6,gpu_buddy_fini,,,,,,,,
W-000114,SignatureDrift,High,11.6,gpu_buddy_free_list,,,,,,,,
W-000115,SignatureDrift,High,11.6,gpu_buddy_init,,,,,,,,
W-000243,FieldDrift,High,11.6,task_struct,,,,,,,,
W-000027,SignatureDrift,High,11.4,atomic_ptr_try_cmpxchg,,,,,,,,
W-000031,SignatureDrift,High,11.4,atomic_ptr_xchg,,,,,,,,
W-000154,SignatureDrift,High,11.4,phy_attach,,,,,,,,
W-000629,SignatureDrift,High,11.4,default_llseek,,,,,,,,
W-000682,SignatureDrift,High,11.4,memcpy,,,,,,,,
W-000081,SignatureDrift,High,11.2,drm_gem_shmem_object_print_info,,,,,,,,
W-000124,SignatureDrift,High,11.2,ilookup,,,,,,,,
W-000178,SignatureDrift,High,11.2,type_,,,,,,,,
W-000669,SignatureDrift,High,11.2,ilookup,,,,,,,,
W-000023,SignatureDrift,High,11.0,atomic_ptr_read,,,,,,,,
W-000025,SignatureDrift,High,11.0,atomic_ptr_set,,,,,,,,
W-000036,SignatureDrift,High,11.0,backing_file_security,,,,,,,,
W-000070,SignatureDrift,High,11.0,drm_gem_shmem_dumb_create,,,,,,,,
W-000078,SignatureDrift,High,11.0,drm_gem_shmem_object_get_sg_table,,,,,,,,
W-000079,SignatureDrift,High,11.0,drm_gem_shmem_object_mmap,,,,,,,,
W-000080,SignatureDrift,High,11.0,drm_gem_shmem_object_pin,,,,,,,,
W-000082,SignatureDrift,High,11.0,drm_gem_shmem_object_unpin,,,,,,,,
W-000083,SignatureDrift,High,11.0,drm_gem_shmem_object_vmap,,,,,,,,
W-000084,SignatureDrift,High,11.0,drm_gem_shmem_object_vunmap,,,,,,,,
W-000085,SignatureDrift,High,11.0,drm_gem_shmem_pin,,,,,,,,
W-000088,SignatureDrift,High,11.0,drm_gem_shmem_prime_import_sg_table,,,,,,,,
W-000093,SignatureDrift,High,11.0,drm_gem_shmem_unpin,,,,,,,,
W-000120,SignatureDrift,High,11.0,iget5_locked,,,,,,,,
W-000125,SignatureDrift,High,11.0,ilookup5,,,,,,,,
W-000131,SignatureDrift,High,11.0,insert_inode_locked,,,,,,,,
W-000165,SignatureDrift,High,11.0,simple_fsync,,,,,,,,
W-000665,SignatureDrift,High,11.0,iget5_locked,,,,,,,,
W-000670,SignatureDrift,High,11.0,ilookup5,,,,,,,,
W-000678,SignatureDrift,High,11.0,insert_inode_locked,,,,,,,,
W-000683,SignatureDrift,High,11.0,memset,,,,,,,,
W-000002,SignatureDrift,High,10.8,__bitmap_weighted_xor,,,,,,,,
W-000003,SignatureDrift,High,10.8,__compat_vma_mmap,,,,,,,,
W-000007,SignatureDrift,High,10.8,__folio_batch_release,,,,,,,,
W-000009,SignatureDrift,High,10.8,__hrtimer_rearm_deferred,,,,,,,,
W-000010,SignatureDrift,High,10.8,__insert_inode_hash,,,,,,,,
W-000011,SignatureDrift,High,10.8,__mmu_notifier_clear_flush_young,,,,,,,,
W-000012,SignatureDrift,High,10.8,__mmu_notifier_clear_young,,,,,,,,
W-000013,SignatureDrift,High,10.8,__mmu_notifier_test_young,,,,,,,,
W-000014,SignatureDrift,High,10.8,__rb_erase_color,,,,,,,,
W-000015,SignatureDrift,High,10.8,__rb_insert_augmented,,,,,,,,
W-000016,SignatureDrift,High,10.8,__remove_inode_hash,,,,,,,,
W-000017,SignatureDrift,High,10.8,acpi_get_cpu_uid,,,,,,,,
W-000019,SignatureDrift,High,10.8,acpi_notifier_call_chain,,,,,,,,
W-000022,SignatureDrift,High,10.8,arch_setup_zero_pages,,,,,,,,
W-000024,SignatureDrift,High,10.8,atomic_ptr_read_acquire,,,,,,,,
W-000026,SignatureDrift,High,10.8,atomic_ptr_set_release,,,,,,,,
W-000028,SignatureDrift,High,10.8,atomic_ptr_try_cmpxchg_acquire,,,,,,,,
W-000029,SignatureDrift,High,10.8,atomic_ptr_try_cmpxchg_relaxed,,,,,,,,
W-000030,SignatureDrift,High,10.8,atomic_ptr_try_cmpxchg_release,,,,,,,,
W-000032,SignatureDrift,High,10.8,atomic_ptr_xchg_acquire,,,,,,,,
W-000033,SignatureDrift,High,10.8,atomic_ptr_xchg_relaxed,,,,,,,,
W-000034,SignatureDrift,High,10.8,atomic_ptr_xchg_release,,,,,,,,
W-000035,SignatureDrift,High,10.8,autoreap,,,,,,,,
W-000037,SignatureDrift,High,10.8,backing_file_set_security,,,,,,,,
W-000038,SignatureDrift,High,10.8,bio_alloc_bioset,,,,,,,,
W-000039,SignatureDrift,High,10.8,bio_await,,,,,,,,
W-000040,SignatureDrift,High,10.8,bio_iov_iter_bounce,,,,,,,,
W-000041,SignatureDrift,High,10.8,bpf_find_linfo,,,,,,,,
W-000042,SignatureDrift,High,10.8,bpf_get_linfo_file_line,,,,,,,,
W-000043,SignatureDrift,High,10.8,call_depth_return_thunk,,,,,,,,
W-000044,SignatureDrift,High,10.8,callthunks_patch_builtin_calls,,,,,,,,
W-000204,FieldDrift,High,10.6,drm_mode_config,,,,,,,,
W-000199,FieldDrift,High,10.2,cpuinfo_x86,,,,,,,,
W-000217,FieldDrift,Medium,9.8,mii_bus,,,,,,,,
W-000234,FieldDrift,Medium,9.8,rhashtable,,,,,,,,
W-000237,FieldDrift,Medium,9.8,sched_domain,,,,,,,,
W-000222,FieldDrift,Medium,9.6,net_iov,,,,,,,,
W-000226,FieldDrift,Medium,9.4,pci_host_bridge,,,,,,,,
W-000193,FieldDrift,Medium,9.2,address_space,,,,,,,,
W-000196,FieldDrift,Medium,9.2,cgroup_file,,,,,,,,
W-000216,FieldDrift,Medium,9.2,kunit_try_catch,,,,,,,,
W-000194,FieldDrift,Medium,9.0,btf_header,,,,,,,,
W-000208,FieldDrift,Medium,9.0,ethtool_rxfh_context,,,,,,,,
W-000218,FieldDrift,Medium,9.0,mm_struct__bindgen_ty_1,,,,,,,,
W-000240,FieldDrift,Medium,9.0,semaphore,,,,,,,,
W-000202,FieldDrift,Medium,8.8,dma_buf_attach_ops,,,,,,,,
W-000205,FieldDrift,Medium,8.8,ethtool_netdev_state,,,,,,,,
W-000206,FieldDrift,Medium,8.8,ethtool_pause_stats__bindgen_ty_1__bindgen_ty_1,,,,,,,,
W-000207,FieldDrift,Medium,8.8,ethtool_pause_stats__bindgen_ty_1__bindgen_ty_2,,,,,,,,
W-000211,FieldDrift,Medium,8.8,hrtimer_clock_base,,,,,,,,
W-000212,FieldDrift,Medium,8.8,hrtimer_cpu_base,,,,,,,,
W-000215,FieldDrift,Medium,8.8,kernel_ethtool_coalesce,,,,,,,,
W-000219,FieldDrift,Medium,8.8,mmu_interval_notifier_ops,,,,,,,,
W-000223,FieldDrift,Medium,8.8,page__bindgen_ty_1__bindgen_ty_3,,,,,,,,
W-000224,FieldDrift,Medium,8.8,page__bindgen_ty_1__bindgen_ty_4,,,,,,,,
W-000227,FieldDrift,Medium,8.8,per_cpu_nodestat,,,,,,,,
W-000228,FieldDrift,Medium,8.8,pglist_data,,,,,,,,
W-000230,FieldDrift,Medium,8.8,platform_device_info,,,,,,,,
W-000231,FieldDrift,Medium,8.8,proto_ops,,,,,,,,
W-000232,FieldDrift,Medium,8.8,pv_cpu_ops,,,,,,,,
W-000233,FieldDrift,Medium,8.8,pv_info,,,,,,,,
W-000235,FieldDrift,Medium,8.8,rhashtable_params,,,,,,,,
W-000236,FieldDrift,Medium,8.8,rw_semaphore,,,,,,,,
W-000238,FieldDrift,Medium,8.8,scm_timestamping_internal,,,,,,,,
W-000319,MacroConstDrift,Medium,8.4,cpuhp_state_CPUHP_AP_ONLINE,,,,,,,,
W-000446,MacroConstDrift,Medium,8.2,pin_config_param_PIN_CONFIG_SKEW_DELAY,,,,,,,,
W-000254,MacroConstDrift,Medium,8.0,CONFIG_RUSTC_VERSION,,,,,,,,
W-000262,MacroConstDrift,Medium,8.0,ORC_REG_SP,,,,,,,,
W-000320,MacroConstDrift,Medium,8.0,cpuhp_state_CPUHP_AP_ONLINE_DYN,,,,,,,,
W-000385,MacroConstDrift,Medium,8.0,cpuhp_state_CPUHP_BP_PREPARE_DYN,,,,,,,,
W-000519,MacroConstDrift,Medium,8.0,vm_event_item_HTLB_BUDDY_PGALLOC,,,,,,,,
W-000544,MacroConstDrift,Medium,8.0,vm_event_item_SWAP_RA,,,,,,,,
W-000251,MacroConstDrift,Medium,7.8,CFI_OFFSET,,,,,,,,
W-000252,MacroConstDrift,Medium,7.8,CONFIG_BINDGEN_VERSION_TEXT,,,,,,,,
W-000253,MacroConstDrift,Medium,7.8,CONFIG_RUSTC_LLVM_VERSION,,,,,,,,
W-000255,MacroConstDrift,Medium,7.8,CONFIG_RUSTC_VERSION_TEXT,,,,,,,,
W-000256,MacroConstDrift,Medium,7.8,DISABLED_MASK11,,,,,,,,
W-000257,MacroConstDrift,Medium,7.8,ETHTOOL_A_COALESCE_MAX,,,,,,,,
W-000258,MacroConstDrift,Medium,7.8,ETHTOOL_A_PAUSE_STAT_MAX,,,,,,,,
W-000259,MacroConstDrift,Medium,7.8,ORC_REG_BP_INDIRECT,,,,,,,,
W-000260,MacroConstDrift,Medium,7.8,ORC_REG_DI,,,,,,,,
W-000261,MacroConstDrift,Medium,7.8,ORC_REG_PREV_SP,,,,,,,,
W-000263,MacroConstDrift,Medium,7.8,QUEUE_FLAG_MAX,,,,,,,,
W-000264,MacroConstDrift,Medium,7.8,RQ_nr_pinned,,,,,,,,
W-000265,MacroConstDrift,Medium,7.8,TASK_stack_canary,,,,,,,,
W-000266,MacroConstDrift,Medium,7.8,TASK_threadsp,,,,,,,,
W-000267,MacroConstDrift,Medium,7.8,__ETHTOOL_A_COALESCE_CNT,,,,,,,,
W-000268,MacroConstDrift,Medium,7.8,__ETHTOOL_A_PAUSE_STAT_CNT,,,,,,,,
W-000269,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ACTIVE,,,,,,,,
W-000270,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARC_TIMER_STARTING,,,,,,,,
W-000271,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM64_DEBUG_MONITORS_STARTING,,,,,,,,
W-000272,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM64_ISNDEP_STARTING,,,,,,,,
W-000273,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARMADA_TIMER_STARTING,,,,,,,,
W-000274,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM_ARCH_TIMER_EVTSTRM_STARTING,,,,,,,,
W-000275,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM_ARCH_TIMER_STARTING,,,,,,,,
W-000276,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM_CACHE_B15_RAC_DYING,,,,,,,,
W-000277,MacroConstDrift,Medium,7.8,cpuhp_state_CPUHP_AP_ARM_CORESIGHT_CTI_STARTING,,,,,,,,
W-000045,SignatureDrift,High,10.8,callthunks_patch_module_calls,,,,,,,,
W-000046,SignatureDrift,High,10.8,callthunks_translate_call_dest,,,,,,,,
W-000047,SignatureDrift,High,10.8,cgroup_on_dfl,,,,,,,,
W-000048,SignatureDrift,High,10.8,compat_set_desc_from_vma,,,,,,,,
W-000049,SignatureDrift,High,10.8,copy_to_nontemporal,,,,,,,,
W-000050,SignatureDrift,High,10.8,copy_user_flushcache,,,,,,,,
W-000051,SignatureDrift,High,10.8,cpufreq_driver_adjust_perf,,,,,,,,
W-000052,SignatureDrift,High,10.8,d_mark_tmpfile_name,,,,,,,,
W-000054,SignatureDrift,High,10.8,dev_is_auxiliary,,,,,,,,
W-000056,SignatureDrift,High,10.8,device_add_groups,,,,,,,,
W-000057,SignatureDrift,High,10.8,device_remove_groups,,,,,,,,
W-000058,SignatureDrift,High,10.8,devm_alloc_workqueue,,,,,,,,
W-000063,SignatureDrift,High,10.8,discard_new_inode,,,,,,,,
W-000064,SignatureDrift,High,10.8,dma_buf_attach_revocable,,,,,,,,
W-000065,SignatureDrift,High,10.8,dma_buf_invalidate_mappings,,,,,,,,
W-000068,SignatureDrift,High,10.8,dma_resv_unlock,,,,,,,,
W-000069,SignatureDrift,High,10.8,drm_gem_shmem_create,,,,,,,,
W-000071,SignatureDrift,High,10.8,drm_gem_shmem_free,,,,,,,,
W-000072,SignatureDrift,High,10.8,drm_gem_shmem_get_pages_sgt,,,,,,,,
W-000073,SignatureDrift,High,10.8,drm_gem_shmem_get_sg_table,,,,,,,,
W-000075,SignatureDrift,High,10.8,drm_gem_shmem_madvise_locked,,,,,,,,
W-000076,SignatureDrift,High,10.8,drm_gem_shmem_mmap,,,,,,,,
W-000086,SignatureDrift,High,10.8,drm_gem_shmem_pin_locked,,,,,,,,
W-000087,SignatureDrift,High,10.8,drm_gem_shmem_prime_import_no_map,,,,,,,,
W-000089,SignatureDrift,High,10.8,drm_gem_shmem_print_info,,,,,,,,
W-000090,SignatureDrift,High,10.8,drm_gem_shmem_purge_locked,,,,,,,,
W-000091,SignatureDrift,High,10.8,drm_gem_shmem_put_pages_locked,,,,,,,,
W-000094,SignatureDrift,High,10.8,drm_gem_shmem_unpin_locked,,,,,,,,
W-000095,SignatureDrift,High,10.8,drm_gem_shmem_vmap_locked,,,,,,,,
W-000096,SignatureDrift,High,10.8,drm_gem_shmem_vunmap_locked,,,,,,,,
W-000097,SignatureDrift,High,10.8,enter_lazy_tlb,,,,,,,,
